{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.944319    -0.00446999    0.000109554
-4.889  -4.716       5     0   200       0.906009    -0.00324826    8.06201e-05
-4.716  -4.538       5     0   200       0.883452    -0.00222904    5.70554e-05
-4.538  -4.363       5     0   200       0.875451    -0.00176034    4.73678e-05
-4.363  -4.191       5     0   200        0.89154    -0.00135935    3.91249e-05
-4.191  -4.013       5     0   200       0.923592    -0.00105653    3.43073e-05
-4.013  -3.839       5     0   200       0.970843   -0.000819282     3.1047e-05
-3.839  -3.664       5     0   200        1.04305   -0.000626732    2.89327e-05
-3.664  -3.489       5     0   200        1.12267    -0.00121256    4.63966e-05
-3.489  -3.314       5     0   200        1.20407    -0.00178859    5.98607e-05
-3.314  -3.139       5     0   200        1.24874   -0.000823382    3.76255e-05
-3.139  -2.964       5     0   200        1.14797   -0.000803235     2.2142e-06
-2.964  -2.853       5     0   200        1.04949    0.000172556   -4.69425e-05
-2.853   -2.65       5     0   200       0.956546     0.00222392   -0.000114588
-2.65    -2.5       5     0   200       0.886562     0.00265829    -0.00012077
-2.5  -2.322       5     0   200       0.914322     0.00287001   -0.000102515
-2.322  -2.172       5     0   200       0.989265     0.00344777   -3.59225e-05
-2.172  -2.043       5     0   200        1.03186    0.000810336     0.00011346
-2.043   -1.93       5     0   200        1.04821    -0.00145414     0.00021315
-1.93   -1.83       5     0   200        1.03969     -0.0020544    0.000225503
-1.83   -1.74       5     0   200         1.0241    -0.00179418    0.000205753
-1.74  -1.653       5     0   200        1.02693    -0.00178019    0.000187081
-1.653  -1.566       5     0   200        1.02277    -0.00107526    0.000150689
-1.566  -1.479       5     0   200        1.02635    -0.00061973    0.000122275
-1.479  -1.392       5     0   200        1.03518   -0.000234171    9.67426e-05
-1.392  -1.305       5     0   200        1.04337    0.000438865    6.64293e-05
-1.305  -1.218       5     0   200        1.06418   -6.80734e-06    6.73789e-05
-1.218  -1.131       5     0   200         1.0878   -0.000781144    8.01909e-05
-1.131  -1.044       5     0   200        1.09965   -0.000730884    7.37373e-05
-1.044  -0.957       5     0   200        1.10583    -0.00112301    7.79648e-05
-0.957  -0.879       5     0   200        1.09966    -0.00119729    8.09973e-05
-0.879  -0.783       5     0   200        1.10567    -0.00154406    8.97884e-05
-0.783  -0.696       5     0   200        1.10592    -0.00188176    0.000101791
-0.696  -0.609       5     0   200        1.11023    -0.00258296     0.00012348
-0.609  -0.522       5     0   200        1.12362    -0.00381029    0.000155788
-0.522  -0.435       5     0   200         1.1323    -0.00425519    0.000165306
-0.435  -0.348       5     0   200        1.14119    -0.00450098    0.000167174
-0.348  -0.261       5     0   200        1.15532    -0.00533461    0.000182309
-0.261  -0.174       5     0   200        1.15256    -0.00487905    0.000166873
-0.174  -0.087       5     0   200        1.14896    -0.00459016    0.000157462
-0.087       0       5     0   200        1.14477    -0.00427474    0.000148297
0   0.087       5     0   200        1.13686    -0.00384826    0.000138606
0.087   0.174       5     0   200        1.12646    -0.00321701    0.000123903
0.174   0.261       5     0   200        1.10582    -0.00185157    9.36033e-05
0.261   0.348       5     0   200         1.0894    -0.00091652    7.45989e-05
0.348   0.435       5     0   200        1.07509   -0.000330807    6.43878e-05
0.435   0.522       5     0   200        1.06437    0.000180555     5.3815e-05
0.522   0.609       5     0   200        1.05897    0.000607931    4.12698e-05
0.609   0.696       5     0   200         1.0619    0.000363887     4.5126e-05
0.696   0.783       5     0   200        1.06645    0.000154143    4.85107e-05
0.783   0.879       5     0   200        1.07156   -0.000106247    5.42084e-05
0.879   0.957       5     0   200        1.06894   -0.000545325    6.98148e-05
0.957   1.044       5     0   200        1.08575    -0.00148231    9.06129e-05
1.044   1.131       5     0   200        1.08639    -0.00153992    9.73457e-05
1.131   1.218       5     0   200        1.07888    -0.00158156    0.000103361
1.218   1.305       5     0   200        1.06491    -0.00146566    0.000106069
1.305   1.392       5     0   200        1.04752    -0.00101217    0.000103336
1.392   1.479       5     0   200        1.02418    7.40509e-05    8.72202e-05
1.479   1.566       5     0   200        1.00859    0.000481496    9.18883e-05
1.566   1.653       5     0   200       0.998229    0.000811377    0.000102324
1.653    1.74       5     0   200       0.995134    0.000787728    0.000125354
1.74    1.83       5     0   200       0.993949   -0.000123466    0.000174045
1.83    1.93       5     0   200        1.01725    -0.00203692    0.000240135
1.93   2.043       5     0   200        1.03254    -0.00289022    0.000268791
2.043   2.172       5     0   200        1.02991    -0.00232467    0.000215823
2.172   2.322       5     0   200       0.971522      0.0019022    2.99947e-05
2.322     2.5       5     0   200       0.879081     0.00375592   -0.000105323
2.5    2.65       5     0   200       0.847974     0.00478095   -0.000160721
2.65   2.853       5     0   200         0.9148     0.00434379   -0.000158133
2.853   2.964       5     0   200        1.01029     0.00192579   -8.59182e-05
