{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200       0.880425     0.00233919   -4.50151e-05
-4.889  -4.716       5     0   200       0.855108       0.002345   -4.40903e-05
-4.716  -4.538       5     0   200       0.843927     0.00225736   -4.00963e-05
-4.538  -4.363       5     0   200        0.84176     0.00212164   -3.45052e-05
-4.363  -4.191       5     0   200       0.859404     0.00232809   -3.74239e-05
-4.191  -4.013       5     0   200       0.889537      0.0027902   -4.59041e-05
-4.013  -3.839       5     0   200       0.931912     0.00346325   -5.96551e-05
-3.839  -3.664       5     0   200       0.995214     0.00453965   -8.38826e-05
-3.664  -3.489       5     0   200        1.05945     0.00551105    -0.00010594
-3.489  -3.314       5     0   200        1.13118     0.00576924    -0.00011202
-3.314  -3.139       5     0   200        1.17956      0.0062938   -0.000120882
-3.139  -2.964       5     0   200         1.0951     0.00477009   -0.000124282
-2.964  -2.853       5     0   200        1.00543      0.0049238   -0.000158769
-2.853   -2.65       5     0   200       0.923237     0.00598896    -0.00020844
-2.65    -2.5       5     0   200       0.846601     0.00727863   -0.000244781
-2.5  -2.322       5     0   200       0.864064     0.00840911   -0.000253205
-2.322  -2.172       5     0   200       0.929052      0.0100326   -0.000215982
-2.172  -2.043       5     0   200       0.968711     0.00794765   -8.61212e-05
-2.043   -1.93       5     0   200       0.981093     0.00614633     4.5746e-07
-1.93   -1.83       5     0   200       0.982995     0.00433716    4.75104e-05
-1.83   -1.74       5     0   200       0.976251     0.00366001    5.38701e-05
-1.74  -1.653       5     0   200       0.988327     0.00260849    6.30438e-05
-1.653  -1.566       5     0   200       0.993674     0.00228508    5.25298e-05
-1.566  -1.479       5     0   200        1.00199     0.00227901    3.53172e-05
-1.479  -1.392       5     0   200        1.01979     0.00177983    3.23344e-05
-1.392  -1.305       5     0   200        1.04201     0.00107577    3.66615e-05
-1.305  -1.218       5     0   200        1.07057    5.16049e-05    4.99204e-05
-1.218  -1.131       5     0   200        1.10027    -0.00113983    7.07887e-05
-1.131  -1.044       5     0   200        1.12381    -0.00220034    9.16329e-05
-1.044  -0.957       5     0   200        1.13867    -0.00341106    0.000116954
-0.957  -0.879       5     0   200         1.1348     -0.0035491    0.000120843
-0.879  -0.783       5     0   200        1.14341    -0.00415404    0.000136091
-0.783  -0.696       5     0   200        1.14501    -0.00466102    0.000151723
-0.696  -0.609       5     0   200        1.14256    -0.00473549    0.000157419
-0.609  -0.522       5     0   200        1.14636    -0.00502511     0.00016589
-0.522  -0.435       5     0   200        1.14957     -0.0050571    0.000165834
-0.435  -0.348       5     0   200        1.16055    -0.00567109    0.000178353
-0.348  -0.261       5     0   200        1.17411    -0.00655538    0.000195429
-0.261  -0.174       5     0   200        1.17703    -0.00688489    0.000201569
-0.174  -0.087       5     0   200        1.17306    -0.00672915    0.000197327
-0.087       0       5     0   200        1.16596    -0.00611325    0.000180074
0   0.087       5     0   200        1.15334    -0.00515203    0.000155525
0.087   0.174       5     0   200        1.14234    -0.00432184    0.000134254
0.174   0.261       5     0   200        1.12659    -0.00336449    0.000113601
0.261   0.348       5     0   200        1.11416    -0.00274362    0.000101951
0.348   0.435       5     0   200        1.09416     -0.0014095    7.10692e-05
0.435   0.522       5     0   200        1.08421   -0.000853488    5.89434e-05
0.522   0.609       5     0   200        1.08313   -0.000771511    5.52939e-05
0.609   0.696       5     0   200        1.08353   -0.000670084    4.98032e-05
0.696   0.783       5     0   200        1.08077   -4.88661e-05    3.06829e-05
0.783   0.879       5     0   200        1.07794    0.000649825    9.64215e-06
0.879   0.957       5     0   200        1.06799      0.0012341   -6.05203e-06
0.957   1.044       5     0   200        1.07836     0.00104733   -6.59867e-06
1.044   1.131       5     0   200        1.07498     0.00148312   -1.44234e-05
1.131   1.218       5     0   200        1.06896     0.00116372    5.66291e-07
1.218   1.305       5     0   200        1.05073     0.00159197   -2.53048e-06
1.305   1.392       5     0   200        1.03344     0.00186125    2.30954e-06
1.392   1.479       5     0   200        1.01824     0.00184434     1.8158e-05
1.479   1.566       5     0   200        1.00299     0.00197134     3.3236e-05
1.566   1.653       5     0   200       0.987708     0.00262182    3.72395e-05
1.653    1.74       5     0   200       0.970109     0.00396595    2.63929e-05
1.74    1.83       5     0   200        0.94914      0.0053121    1.28527e-05
1.83    1.93       5     0   200       0.948294     0.00610648     3.1968e-06
1.93   2.043       5     0   200       0.943677     0.00754011   -3.47598e-05
2.043   2.172       5     0   200       0.934264     0.00867896   -0.000103489
2.172   2.322       5     0   200        0.89551      0.0101933   -0.000211125
2.322     2.5       5     0   200       0.835885     0.00824021    -0.00023646
2.5    2.65       5     0   200       0.821992     0.00722508   -0.000229977
2.65   2.853       5     0   200       0.889085     0.00664031   -0.000213131
2.853   2.964       5     0   200       0.968416     0.00600294   -0.000178863
2.964   3.139       5     0   200        1.05394     0.00599737   -0.000153346
3.139   3.314       5     0   200        1.13407     0.00707614   -0.000143232
3.314   3.489       5     0   200        1.09547     0.00566444   -0.000114341
3.489   3.664       5     0   200        1.03469     0.00450564   -8.57302e-05
3.664   3.839       5     0   200       0.981448     0.00316465   -5.50038e-05
3.839   4.013       5     0   200       0.929932     0.00213978   -3.30973e-05
4.013   4.191       5     0   200       0.896994     0.00134235   -1.63945e-05
4.191   4.363       5     0   200       0.877445    0.000625571   -1.63876e-06
4.363   4.538       5     0   200       0.864626    0.000131885    7.92369e-06
4.538   4.716       5     0   200       0.867781   -0.000103489     1.2298e-05
4.716   4.889       5     0   200       0.877353    0.000202078    3.90308e-06
4.889   5.191       5     0   200       0.896444     0.00103435   -1.69566e-05
