{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.6846 -0.5510  0.1305
  -4.889 -4.716  5  10  121    0.6621 -0.3285  0.5000
  -4.716 -4.538  5  10  145    0.7562 -0.0072  0.5000
  -4.538 -4.363  5  10  173    0.7587 -0.0670  0.4747
  -4.363 -4.191  5  10  205    0.7508 -0.0781  0.5000
  -4.191 -4.013  5  10  245    0.8148 -0.1230  0.2925
  -4.013 -3.839  5  10  292    0.8210 -0.0381  0.5000
  -3.839 -3.664  5  10  348    0.8690 -0.0481  0.5000
  -3.664 -3.489  5  10  414    0.9115 -0.0337  0.5000
  -3.489 -3.314  5  10  493    0.9566 -0.0201  0.5000
  -3.314 -3.139  5  10  588    0.9495 -0.0000  0.5000
  -3.139 -2.964  5  10  700    0.8301  0.1069  0.5000
  -2.964 -2.853  5  10  781    0.7604  0.0892 -0.5000
  -2.853 -2.650  5  10  956    0.7043  0.1301  0.1983
  -2.650 -2.500  5  10 1108    0.7933  0.0846 -0.3339
  -2.500 -2.322  5  10 1321    0.8798  0.0755  0.1646
  -2.322 -2.172  5  10 1529    0.9712  0.0138 -0.1879
  -2.172 -2.043  5  10 1733    0.9565  0.0250  0.0018
  -2.043 -1.930  5  10 1933    0.9627  0.0306  0.0100
  -1.930 -1.830  5  10 2126    0.9690  0.0417 -0.0194
  -1.830 -1.740  5  10 2315    0.9814  0.0297 -0.1067
  -1.740 -1.653  5  10 2511    0.9764  0.0365 -0.0827
  -1.653 -1.566  5  10 2721    0.9729  0.0442 -0.0286
  -1.566 -1.479  5  10 2946    0.9711  0.0160 -0.0574
  -1.479 -1.392  5  10 3183    1.0375 -0.0711 -0.4708
  -1.392 -1.305  5  10 3435    1.0209 -0.0366 -0.2231
  -1.305 -1.218  5  10 3699    1.0219 -0.0278 -0.1934
  -1.218 -1.131  5  10 3974    1.0025 -0.0109 -0.0675
  -1.131 -1.044  5  10 4259    0.9952 -0.0101 -0.0329
  -1.044 -0.957  5  10 4551    1.0026 -0.0098 -0.0509
  -0.957 -0.879  5  10 4816    1.0010 -0.0050 -0.0215
  -0.879 -0.783  5  10 5141    0.9982  0.0001  0.0002
  -0.783 -0.696  5  10 5430    1.0024 -0.0006  0.0065
  -0.696 -0.609  5  10 5708    1.0070 -0.0020 -0.0117
  -0.609 -0.522  5  10 5968    1.0058 -0.0065 -0.0149
  -0.522 -0.435  5  10 6203    0.9970  0.0029  0.0223
  -0.435 -0.348  5  10 6408    0.9963  0.0015  0.0271
  -0.348 -0.261  5  10 6574    1.0008  0.0033  0.0285
  -0.261 -0.174  5  10 6698    1.0028  0.0066  0.0173
  -0.174 -0.087  5  10 6774    0.9940  0.0139  0.0650
  -0.087 -0.000  5  10 6800    0.9899  0.0104  0.0722
  +0.000 +0.087  5  10 6800    0.9899  0.0104  0.0722
  +0.087 +0.174  5  10 6774    0.9940  0.0139  0.0650
  +0.174 +0.261  5  10 6698    1.0028  0.0066  0.0173
  +0.261 +0.348  5  10 6574    1.0008  0.0033  0.0285
  +0.348 +0.435  5  10 6408    0.9963  0.0015  0.0271
  +0.435 +0.522  5  10 6203    0.9970  0.0029  0.0223
  +0.522 +0.609  5  10 5968    1.0058 -0.0065 -0.0149
  +0.609 +0.696  5  10 5708    1.0070 -0.0020 -0.0117
  +0.696 +0.783  5  10 5430    1.0024 -0.0006  0.0065
  +0.783 +0.879  5  10 5141    0.9982  0.0001  0.0002
  +0.879 +0.957  5  10 4816    1.0010 -0.0050 -0.0215
  +0.957 +1.044  5  10 4551    1.0026 -0.0098 -0.0509
  +1.044 +1.131  5  10 4259    0.9952 -0.0101 -0.0329
  +1.131 +1.218  5  10 3974    1.0025 -0.0109 -0.0675
  +1.218 +1.305  5  10 3699    1.0219 -0.0278 -0.1934
  +1.305 +1.392  5  10 3435    1.0209 -0.0366 -0.2231
  +1.392 +1.479  5  10 3183    1.0375 -0.0711 -0.4708
  +1.479 +1.566  5  10 2946    0.9711  0.0160 -0.0574
  +1.566 +1.653  5  10 2721    0.9729  0.0442 -0.0286
  +1.653 +1.740  5  10 2511    0.9764  0.0365 -0.0827
  +1.740 +1.830  5  10 2315    0.9814  0.0297 -0.1067
  +1.830 +1.930  5  10 2126    0.9690  0.0417 -0.0194
  +1.930 +2.043  5  10 1933    0.9627  0.0306  0.0100
  +2.043 +2.172  5  10 1733    0.9565  0.0250  0.0018
  +2.172 +2.322  5  10 1529    0.9712  0.0138 -0.1879
  +2.322 +2.500  5  10 1321    0.8798  0.0755  0.1646
  +2.500 +2.650  5  10 1108    0.7933  0.0846 -0.3339
  +2.650 +2.853  5  10  956    0.7043  0.1301  0.1983
  +2.853 +2.964  5  10  781    0.7604  0.0892 -0.5000
  +2.964 +3.139  5  10  700    0.8301  0.1069  0.5000
  +3.139 +3.314  5  10  588    0.9495 -0.0000  0.5000
  +3.314 +3.489  5  10  493    0.9566 -0.0201  0.5000
  +3.489 +3.664  5  10  414    0.9115 -0.0337  0.5000
  +3.664 +3.839  5  10  348    0.8690 -0.0481  0.5000
  +3.839 +4.013  5  10  292    0.8210 -0.0381  0.5000
  +4.013 +4.191  5  10  245    0.8148 -0.1230  0.2925
  +4.191 +4.363  5  10  205    0.7508 -0.0781  0.5000
  +4.363 +4.538  5  10  173    0.7587 -0.0670  0.4747
  +4.538 +4.716  5  10  145    0.7562 -0.0072  0.5000
  +4.716 +4.889  5  10  121    0.6621 -0.3285  0.5000
  +4.889 +5.191  5  10  102    0.6846 -0.5510  0.1305
