{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.8508 -0.2974  0.0156
  -4.889 -4.716  5  10  121    0.6488 -0.2174  0.5000
  -4.716 -4.538  5  10  145    0.7601 -0.0429  0.0798
  -4.538 -4.363  5  10  173    0.7444 -0.1497  0.0807
  -4.363 -4.191  5  10  205    0.7134  0.0263  0.4659
  -4.191 -4.013  5  10  245    0.7782 -0.0092  0.2864
  -4.013 -3.839  5  10  292    0.8122  0.0239  0.3063
  -3.839 -3.664  5  10  348    0.8612 -0.0054  0.2646
  -3.664 -3.489  5  10  414    0.8765  0.0588  0.4567
  -3.489 -3.314  5  10  493    0.9325  0.0399  0.2878
  -3.314 -3.139  5  10  588    0.9099  0.0774  0.3957
  -3.139 -2.964  5  10  700    0.8582  0.0917  0.5000
  -2.964 -2.853  5  10  781    0.7714  0.0980  0.1851
  -2.853 -2.650  5  10  956    0.7409  0.0937  0.3414
  -2.650 -2.500  5  10 1108    0.8204  0.0633 -0.5000
  -2.500 -2.322  5  10 1321    0.8752  0.0830  0.1730
  -2.322 -2.172  5  10 1529    0.9724  0.0091 -0.2936
  -2.172 -2.043  5  10 1733    0.9666  0.0092 -0.1524
  -2.043 -1.930  5  10 1933    0.9660  0.0248 -0.0756
  -1.930 -1.830  5  10 2126    0.9690  0.0388 -0.0441
  -1.830 -1.740  5  10 2315    0.9783  0.0288 -0.1354
  -1.740 -1.653  5  10 2511    0.9728  0.0376 -0.0554
  -1.653 -1.566  5  10 2721    0.9680  0.0475  0.0118
  -1.566 -1.479  5  10 2946    0.9641  0.0232 -0.0058
  -1.479 -1.392  5  10 3183    1.0333 -0.0674 -0.5000
  -1.392 -1.305  5  10 3435    1.0203 -0.0377 -0.2505
  -1.305 -1.218  5  10 3699    1.0241 -0.0296 -0.2553
  -1.218 -1.131  5  10 3974    1.0011 -0.0101 -0.0684
  -1.131 -1.044  5  10 4259    0.9979 -0.0143 -0.0384
  -1.044 -0.957  5  10 4551    1.0081 -0.0142 -0.1139
  -0.957 -0.879  5  10 4816    1.0038 -0.0086 -0.0461
  -0.879 -0.783  5  10 5141    1.0001 -0.0022 -0.0088
  -0.783 -0.696  5  10 5430    0.9994  0.0023  0.0356
  -0.696 -0.609  5  10 5708    1.0101 -0.0050 -0.0337
  -0.609 -0.522  5  10 5968    1.0036 -0.0033  0.0005
  -0.522 -0.435  5  10 6203    0.9963  0.0044  0.0311
  -0.435 -0.348  5  10 6408    0.9956  0.0035  0.0282
  -0.348 -0.261  5  10 6574    0.9965  0.0078  0.0596
  -0.261 -0.174  5  10 6698    1.0023  0.0071  0.0322
  -0.174 -0.087  5  10 6774    0.9905  0.0168  0.1147
  -0.087 -0.000  5  10 6800    0.9882  0.0126  0.0959
  +0.000 +0.087  5  10 6800    0.9882  0.0126  0.0959
  +0.087 +0.174  5  10 6774    0.9905  0.0168  0.1147
  +0.174 +0.261  5  10 6698    1.0023  0.0071  0.0322
  +0.261 +0.348  5  10 6574    0.9965  0.0078  0.0596
  +0.348 +0.435  5  10 6408    0.9956  0.0035  0.0282
  +0.435 +0.522  5  10 6203    0.9963  0.0044  0.0311
  +0.522 +0.609  5  10 5968    1.0036 -0.0033  0.0005
  +0.609 +0.696  5  10 5708    1.0101 -0.0050 -0.0337
  +0.696 +0.783  5  10 5430    0.9994  0.0023  0.0356
  +0.783 +0.879  5  10 5141    1.0001 -0.0022 -0.0088
  +0.879 +0.957  5  10 4816    1.0038 -0.0086 -0.0461
  +0.957 +1.044  5  10 4551    1.0081 -0.0142 -0.1139
  +1.044 +1.131  5  10 4259    0.9979 -0.0143 -0.0384
  +1.131 +1.218  5  10 3974    1.0011 -0.0101 -0.0684
  +1.218 +1.305  5  10 3699    1.0241 -0.0296 -0.2553
  +1.305 +1.392  5  10 3435    1.0203 -0.0377 -0.2505
  +1.392 +1.479  5  10 3183    1.0333 -0.0674 -0.5000
  +1.479 +1.566  5  10 2946    0.9641  0.0232 -0.0058
  +1.566 +1.653  5  10 2721    0.9680  0.0475  0.0118
