{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)+[3]*log10(x/10.)/(x/10.)) Correction L2Relative}
  -5.191 -4.889  6  9   69    0.5635 -0.1621  0.0895 -0.2746
  -4.889 -4.716  6  6   99    0.7917 -0.4935 -0.5931 -0.5043
  -4.716 -4.538  6  10  141    0.8568  0.0478  0.1548 -0.8244
  -4.538 -4.363  6  10  163    0.8404 -0.0090  0.2115 -0.9135
  -4.363 -4.191  6  11  193    0.8463 -0.0542  0.2920 -0.9794
  -4.191 -4.013  6  10  238    0.8043  0.0163  0.2052 -0.2240
  -4.013 -3.839  6  9  271    0.8343 -0.1379 -0.0462 -0.0096
  -3.839 -3.664  6  10  334    0.8868 -0.1622 -0.0723 -0.0013
  -3.664 -3.489  6  11  413    0.9107 -0.1302  0.0455 -0.0186
  -3.489 -3.314  6  12  580    0.9556  0.0305  0.3015 -0.2093
  -3.314 -3.139  6  12  659    0.9430 -0.0119  0.2796 -0.1736
  -3.139 -2.964  6  13  804    0.9161  0.0497  0.5219 -0.6172
  -2.964 -2.853  6  8  768    0.8190  0.0009 -0.0519 -0.0154
  -2.853 -2.650  6  10  982    0.7700  0.0873  0.3278 -0.3744
  -2.650 -2.500  6  9 1234    0.7570  0.1549  0.2769 -0.2612
  -2.500 -2.322  6  10 1496    0.8592  0.0712  0.2418 -0.1285
  -2.322 -2.172  6  8 1810    0.9306  0.0446 -0.0508 -0.0074
  -2.172 -2.043  6  9 2021    0.9355  0.0273 -0.0246  0.0057
  -2.043 -1.930  6  9 2251    0.9504  0.0149 -0.0568 -0.0076
  -1.930 -1.830  6  9 2626    0.9570  0.0512 -0.0027  0.0049
  -1.830 -1.740  6  9 2817    0.9634  0.0351 -0.0753 -0.0143
  -1.740 -1.653  6  9 3145    0.9587  0.0570  0.0136  0.0040
  -1.653 -1.566  6  9 3406    0.9641  0.0518  0.0146  0.0031
  -1.566 -1.479  6  10 3618    0.9532  0.0456  0.0480  0.0025
  -1.479 -1.392  6  7 3499    1.0179 -0.0657 -0.2935 -0.1569
  -1.392 -1.305  6  10 4035    0.9899 -0.0068 -0.0408  0.0009
  -1.305 -1.218  6  9 4431    0.9990 -0.0003 -0.0901 -0.0119
  -1.218 -1.131  6  10 4745    0.9894  0.0033 -0.0155  0.0004
  -1.131 -1.044  6  10 4959    0.9968 -0.0156 -0.0624  0.0011
  -1.044 -0.957  6  10 5447    0.9943  0.0017 -0.0388  0.0011
  -0.957 -0.879  6  11 5796    0.9922  0.0060  0.0437  0.0004
  -0.879 -0.783  6  10 6077    1.0036 -0.0104 -0.0280  0.0001
  -0.783 -0.696  6  10 6526    0.9997  0.0010  0.0049  0.0000
  -0.696 -0.609  6  10 6852    1.0099 -0.0052 -0.0306  0.0001
  -0.609 -0.522  6  10 7210    0.9968  0.0054  0.0228  0.0001
  -0.522 -0.435  6  10 7430    1.0026 -0.0024 -0.0038 -0.0000
  -0.435 -0.348  6  11 7772    0.9965  0.0076  0.0441  0.0005
