{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)+[3]*log10(x/10.)/(x/10.)) Correction L2Relative}
  -5.191 -4.889  6  8   72    0.6889 -1.1504 -1.0468 -0.9773
  -4.889 -4.716  6  11   89    0.7801 -0.4270  0.0353 -1.8079
  -4.716 -4.538  6  6  123    0.8275 -0.4106 -0.5495 -0.4647
  -4.538 -4.363  6  8  131    0.7833 -0.5943 -0.5693 -0.4243
  -4.363 -4.191  6  9  171    0.7456 -0.1951 -0.0911 -0.0138
  -4.191 -4.013  6  10  230    0.7979 -0.0380  0.1932 -0.1797
  -4.013 -3.839  6  10  287    0.8317 -0.0357  0.1121 -0.0204
  -3.839 -3.664  6  12  360    0.8858 -0.0341  0.3285 -0.3380
  -3.664 -3.489  6  12  455    0.9233 -0.0048  0.4025 -0.4291
  -3.489 -3.314  6  12  575    0.9544  0.0232  0.3851 -0.3410
  -3.314 -3.139  6  13  692    0.9491  0.0411  0.4703 -0.4845
  -3.139 -2.964  6  13  795    0.9161  0.0392  0.5309 -0.6316
  -2.964 -2.853  6  9  826    0.7963  0.0918  0.1636 -0.0809
  -2.853 -2.650  6  10  973    0.7782  0.0712  0.2986 -0.2904
  -2.650 -2.500  6  8 1233    0.7667  0.1459  0.1777 -0.0867
  -2.500 -2.322  6  10 1536    0.8834  0.0716  0.1294 -0.0318
  -2.322 -2.172  6  7 1790    0.9798 -0.0021 -0.2406 -0.1401
  -2.172 -2.043  6  8 2026    0.9655  0.0070 -0.1249 -0.0341
  -2.043 -1.930  6  9 2309    0.9634  0.0237 -0.0654 -0.0101
  -1.930 -1.830  6  9 2607    0.9658  0.0392 -0.0233  0.0032
  -1.830 -1.740  6  8 2826    0.9795  0.0262 -0.1034 -0.0243
  -1.740 -1.653  6  9 3109    0.9677  0.0427 -0.0230  0.0036
  -1.653 -1.566  6  10 3398    0.9679  0.0477  0.0210  0.0021
  -1.566 -1.479  6  10 3531    0.9635  0.0228  0.0070  0.0012
  -1.479 -1.392  6  7 3539    1.0426 -0.0748 -0.3600 -0.2389
  -1.392 -1.305  6  9 3960    1.0230 -0.0387 -0.2023 -0.0708
  -1.305 -1.218  6  9 4328    1.0262 -0.0312 -0.1973 -0.0687
  -1.218 -1.131  6  10 4701    1.0015 -0.0096 -0.0704 -0.0015
  -1.131 -1.044  6  10 4964    0.9995 -0.0167 -0.0473  0.0004
  -1.044 -0.957  6  9 5357    1.0116 -0.0176 -0.1100 -0.0129
  -0.957 -0.879  6  9 5606    1.0153 -0.0256 -0.1095 -0.0103
  -0.879 -0.783  6  10 6147    0.9999 -0.0019 -0.0048  0.0000
  -0.783 -0.696  6  11 6553    0.9995  0.0033  0.0422  0.0007
  -0.696 -0.609  6  10 6869    1.0091 -0.0034 -0.0160 -0.0000
