{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)+[3]*log10(x/10.)/(x/10.)) Correction L2Relative}
  -5.191 -4.889  6  11  112    0.9326 -0.2599 -0.0921  0.0417
  -4.889 -4.716  6  15  100    0.8709 -0.7214  0.4207 -2.2851
  -4.716 -4.538  6  10  124    0.7382 -0.2703  0.0052 -0.0093
  -4.538 -4.363  6  9  128    0.8028 -0.7942 -0.6655 -0.5184
  -4.363 -4.191  6  12  180    0.8387 -0.1906  0.3687 -1.2259
  -4.191 -4.013  6  12  226    0.8129 -0.1011  0.2884 -0.3834
  -4.013 -3.839  6  11  283    0.8407 -0.0657  0.2503 -0.2393
  -3.839 -3.664  6  11  363    0.8835 -0.0229  0.2546 -0.2027
  -3.664 -3.489  6  13  458    0.9453 -0.0165  0.5502 -0.7769
  -3.489 -3.314  6  12  575    0.9540  0.0232  0.3355 -0.2592
  -3.314 -3.139  6  12  688    0.9468  0.0354  0.3960 -0.3443
  -3.139 -2.964  6  13  801    0.9138  0.0491  0.5204 -0.6182
  -2.964 -2.853  6  9  819    0.7876  0.0933  0.1765 -0.0991
  -2.853 -2.650  6  10  973    0.7765  0.0729  0.3050 -0.3063
  -2.650 -2.500  6  8 1244    0.7670  0.1525  0.1690 -0.0746
  -2.500 -2.322  6  10 1555    0.8884  0.0773  0.1491 -0.0423
  -2.322 -2.172  6  7 1814    0.9895  0.0007 -0.2569 -0.1617
  -2.172 -2.043  6  8 2042    0.9749  0.0058 -0.1460 -0.0457
  -2.043 -1.930  6  9 2328    0.9737  0.0221 -0.0851 -0.0164
  -1.930 -1.830  6  9 2618    0.9745  0.0365 -0.0639 -0.0101
  -1.830 -1.740  6  8 2841    0.9803  0.0295 -0.1108 -0.0288
  -1.740 -1.653  6  9 3107    0.9707  0.0401 -0.0243  0.0032
  -1.653 -1.566  6  10 3394    0.9676  0.0470  0.0200  0.0021
  -1.566 -1.479  6  10 3535    0.9642  0.0233  0.0069  0.0012
  -1.479 -1.392  6  6 3559    1.0506 -0.0764 -0.3893 -0.2832
  -1.392 -1.305  6  8 3974    1.0229 -0.0366 -0.2081 -0.0764
  -1.305 -1.218  6  8 4336    1.0287 -0.0316 -0.2178 -0.0859
  -1.218 -1.131  6  10 4698    1.0002 -0.0090 -0.0583  0.0011
  -1.131 -1.044  6  10 4996    0.9955 -0.0106 -0.0183 -0.0000
  -1.044 -0.957  6  9 5398    1.0053 -0.0096 -0.0970 -0.0114
  -0.957 -0.879  6  10 5719    1.0021 -0.0071 -0.0378  0.0004
  -0.879 -0.783  6  10 6167    0.9983  0.0007 -0.0044  0.0000
  -0.783 -0.696  6  11 6564    0.9977  0.0052  0.0520  0.0009
  -0.696 -0.609  6  10 6851    1.0103 -0.0054 -0.0401  0.0002
  -0.609 -0.522  6  10 7144    1.0034 -0.0032  0.0048  0.0001
  -0.522 -0.435  6  10 7478    0.9952  0.0050  0.0345  0.0003
  -0.435 -0.348  6  10 7688    0.9983  0.0008  0.0064  0.0000
  -0.348 -0.261  6  11 7990    0.9959  0.0088  0.0649  0.0012
  -0.261 -0.174  6  10 8142    1.0036  0.0049  0.0273  0.0003
  -0.174 -0.087  6  11 8318    0.9900  0.0174  0.1458 -0.0156
  -0.087 -0.000  6  11 8237    0.9890  0.0107  0.0962 -0.0074
  +0.000 +0.087  6  11 8237    0.9890  0.0107  0.0962 -0.0074
  +0.087 +0.174  6  11 8318    0.9900  0.0174  0.1458 -0.0156
  +0.174 +0.261  6  10 8142    1.0036  0.0049  0.0273  0.0003
  +0.261 +0.348  6  11 7990    0.9959  0.0088  0.0649  0.0012
  +0.348 +0.435  6  10 7688    0.9983  0.0008  0.0064  0.0000
  +0.435 +0.522  6  10 7478    0.9952  0.0050  0.0345  0.0003
  +0.522 +0.609  6  10 7144    1.0034 -0.0032  0.0048  0.0001
  +0.609 +0.696  6  10 6851    1.0103 -0.0054 -0.0401  0.0002
  +0.696 +0.783  6  11 6564    0.9977  0.0052  0.0520  0.0009
  +0.783 +0.879  6  10 6167    0.9983  0.0007 -0.0044  0.0000
  +0.879 +0.957  6  10 5719    1.0021 -0.0071 -0.0378  0.0004
  +0.957 +1.044  6  9 5398    1.0053 -0.0096 -0.0970 -0.0114
  +1.044 +1.131  6  10 4996    0.9955 -0.0106 -0.0183 -0.0000
  +1.131 +1.218  6  10 4698    1.0002 -0.0090 -0.0583  0.0011
  +1.218 +1.305  6  8 4336    1.0287 -0.0316 -0.2178 -0.0859
  +1.305 +1.392  6  8 3974    1.0229 -0.0366 -0.2081 -0.0764
  +1.392 +1.479  6  6 3559    1.0506 -0.0764 -0.3893 -0.2832
  +1.479 +1.566  6  10 3535    0.9642  0.0233  0.0069  0.0012
  +1.566 +1.653  6  10 3394    0.9676  0.0470  0.0200  0.0021
  +1.653 +1.740  6  9 3107    0.9707  0.0401 -0.0243  0.0032
  +1.740 +1.830  6  8 2841    0.9803  0.0295 -0.1108 -0.0288
  +1.830 +1.930  6  9 2618    0.9745  0.0365 -0.0639 -0.0101
  +1.930 +2.043  6  9 2328    0.9737  0.0221 -0.0851 -0.0164
  +2.043 +2.172  6  8 2042    0.9749  0.0058 -0.1460 -0.0457
  +2.172 +2.322  6  7 1814    0.9895  0.0007 -0.2569 -0.1617
  +2.322 +2.500  6  10 1555    0.8884  0.0773  0.1491 -0.0423
  +2.500 +2.650  6  8 1244    0.7670  0.1525  0.1690 -0.0746
  +2.650 +2.853  6  10  973    0.7765  0.0729  0.3050 -0.3063
  +2.853 +2.964  6  9  819    0.7876  0.0933  0.1765 -0.0991
  +2.964 +3.139  6  13  801    0.9138  0.0491  0.5204 -0.6182
  +3.139 +3.314  6  12  688    0.9468  0.0354  0.3960 -0.3443
  +3.314 +3.489  6  12  575    0.9540  0.0232  0.3355 -0.2592
  +3.489 +3.664  6  13  458    0.9453 -0.0165  0.5502 -0.7769
  +3.664 +3.839  6  11  363    0.8835 -0.0229  0.2546 -0.2027
  +3.839 +4.013  6  11  283    0.8407 -0.0657  0.2503 -0.2393
  +4.013 +4.191  6  12  226    0.8129 -0.1011  0.2884 -0.3834
  +4.191 +4.363  6  12  180    0.8387 -0.1906  0.3687 -1.2259
  +4.363 +4.538  6  9  128    0.8028 -0.7942 -0.6655 -0.5184
  +4.538 +4.716  6  10  124    0.7382 -0.2703  0.0052 -0.0093
  +4.716 +4.889  6  15  100    0.8709 -0.7214  0.4207 -2.2851
