{ 1 JetEta 1 JetPt 1./([p0]+[p1]*log10(0.01*x)+[p2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.7371 -0.3603  0.5000
  -4.889 -4.716  5  10  121    0.8642 -0.3004  0.5000
  -4.716 -4.538  5  10  145    0.9003 -0.2538  0.5000
  -4.538 -4.363  5  10  173    0.9117 -0.1561  0.5000
  -4.363 -4.191  5  10  205    0.8899 -0.1301  0.5000
  -4.191 -4.013  5  10  245    0.9409 -0.1614  0.2995
  -4.013 -3.839  5  10  292    0.9428 -0.0383  0.4242
  -3.839 -3.664  5  10  348    0.9614 -0.0118  0.4817
  -3.664 -3.489  5  10  414    0.9886 -0.0406  0.3442
  -3.489 -3.314  5  10  493    1.0013 -0.0313  0.4044
  -3.314 -3.139  5  10  588    0.9778 -0.0004  0.5000
  -3.139 -2.964  5  10  700    0.8501  0.1187  0.5000
  -2.964 -2.853  5  10  781    0.7693  0.0873 -0.5000
  -2.853 -2.650  5  10  956    0.7243  0.1417  0.1908
  -2.650 -2.500  5  10 1108    0.7481  0.1875  0.2028
  -2.500 -2.322  5  10 1321    0.8954  0.0771  0.1407
  -2.322 -2.172  5  10 1529    0.9718  0.0327 -0.1342
  -2.172 -2.043  5  10 1733    0.9596  0.0350  0.0197
  -2.043 -1.930  5  10 1933    0.9629  0.0410  0.0405
  -1.930 -1.830  5  10 2126    0.9678  0.0533  0.0219
  -1.830 -1.740  5  10 2315    0.9778  0.0447 -0.0460
  -1.740 -1.653  5  10 2511    0.9752  0.0431 -0.0615
  -1.653 -1.566  5  10 2721    0.9714  0.0486 -0.0213
  -1.566 -1.479  5  10 2946    0.9661  0.0247 -0.0250
  -1.479 -1.392  5  10 3183    1.0267 -0.0537 -0.3767
  -1.392 -1.305  5  10 3435    1.0154 -0.0286 -0.1937
  -1.305 -1.218  5  10 3699    1.0099 -0.0133 -0.1047
  -1.218 -1.131  5  10 3974    0.9967 -0.0047 -0.0406
  -1.131 -1.044  5  10 4259    0.9938 -0.0090 -0.0276
  -1.044 -0.957  5  10 4551    0.9941  0.0019 -0.0014
  -0.957 -0.879  5  10 4816    0.9955  0.0009  0.0046
  -0.879 -0.783  5  10 5141    1.0017 -0.0051 -0.0265
  -0.783 -0.696  5  10 5430    0.9984  0.0054  0.0331
