{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    1.0585  0.0700  0.1582
  -4.889 -4.716  5  10  121    0.9815  0.0461  0.5000
  -4.716 -4.538  5  10  145    1.0197 -0.0891 -0.1046
  -4.538 -4.363  5  10  173    0.9487  0.2458  0.5000
  -4.363 -4.191  5  10  205    0.8907  0.1629  0.5000
  -4.191 -4.013  5  10  245    0.9398  0.0452  0.2187
  -4.013 -3.839  5  10  292    0.9142  0.1766  0.4857
  -3.839 -3.664  5  10  348    0.9467  0.0803  0.2994
  -3.664 -3.489  5  10  414    0.9508  0.0719  0.2690
  -3.489 -3.314  5  10  493    0.9847  0.0312  0.1086
  -3.314 -3.139  5  10  588    0.9425  0.0853  0.2616
  -3.139 -2.964  5  10  700    0.8732  0.1159  0.5000
  -2.964 -2.853  5  10  781    0.8077  0.0689 -0.4077
  -2.853 -2.650  5  10  956    0.7578  0.1169  0.2949
  -2.650 -2.500  5  10 1108    0.8017  0.1217  0.1002
  -2.500 -2.322  5  10 1321    0.8925  0.0848  0.1252
  -2.322 -2.172  5  10 1529    0.9856  0.0096 -0.3314
  -2.172 -2.043  5  10 1733    0.9701  0.0160 -0.1341
  -2.043 -1.930  5  10 1933    0.9692  0.0296 -0.0557
  -1.930 -1.830  5  10 2126    0.9733  0.0439 -0.0410
  -1.830 -1.740  5  10 2315    0.9745  0.0421 -0.0475
  -1.740 -1.653  5  10 2511    0.9666  0.0486  0.0019
  -1.653 -1.566  5  10 2721    0.9670  0.0512  0.0043
  -1.566 -1.479  5  10 2946    0.9594  0.0299  0.0441
  -1.479 -1.392  5  10 3183    1.0216 -0.0500 -0.3928
  -1.392 -1.305  5  10 3435    1.0124 -0.0281 -0.2064
  -1.305 -1.218  5  10 3699    1.0163 -0.0216 -0.1909
  -1.218 -1.131  5  10 3974    0.9980 -0.0074 -0.0539
  -1.131 -1.044  5  10 4259    0.9968 -0.0131 -0.0335
  -1.044 -0.957  5  10 4551    1.0017 -0.0064 -0.0659
  -0.957 -0.879  5  10 4816    1.0038 -0.0095 -0.0535
  -0.879 -0.783  5  10 5141    1.0025 -0.0054 -0.0261
  -0.783 -0.696  5  10 5430    0.9940  0.0098  0.0724
  -0.696 -0.609  5  10 5708    1.0041  0.0006  0.0120
  -0.609 -0.522  5  10 5968    1.0057 -0.0067 -0.0224
  -0.522 -0.435  5  10 6203    0.9964  0.0042  0.0229
  -0.435 -0.348  5  10 6408    1.0002 -0.0026 -0.0029
  -0.348 -0.261  5  10 6574    0.9966  0.0083  0.0645
  -0.261 -0.174  5  10 6698    1.0042  0.0076  0.0102
  -0.174 -0.087  5  10 6774    0.9972  0.0104  0.0676
  -0.087 -0.000  5  10 6800    0.9930  0.0066  0.0821
  +0.000 +0.087  5  10 6800    0.9930  0.0066  0.0821
  +0.087 +0.174  5  10 6774    0.9972  0.0104  0.0676
  +0.174 +0.261  5  10 6698    1.0042  0.0076  0.0102
  +0.261 +0.348  5  10 6574    0.9966  0.0083  0.0645
  +0.348 +0.435  5  10 6408    1.0002 -0.0026 -0.0029
  +0.435 +0.522  5  10 6203    0.9964  0.0042  0.0229
  +0.522 +0.609  5  10 5968    1.0057 -0.0067 -0.0224
  +0.609 +0.696  5  10 5708    1.0041  0.0006  0.0120
  +0.696 +0.783  5  10 5430    0.9940  0.0098  0.0724
  +0.783 +0.879  5  10 5141    1.0025 -0.0054 -0.0261
  +0.879 +0.957  5  10 4816    1.0038 -0.0095 -0.0535
  +0.957 +1.044  5  10 4551    1.0017 -0.0064 -0.0659
  +1.044 +1.131  5  10 4259    0.9968 -0.0131 -0.0335
  +1.131 +1.218  5  10 3974    0.9980 -0.0074 -0.0539
  +1.218 +1.305  5  10 3699    1.0163 -0.0216 -0.1909
  +1.305 +1.392  5  10 3435    1.0124 -0.0281 -0.2064
  +1.392 +1.479  5  10 3183    1.0216 -0.0500 -0.3928
  +1.479 +1.566  5  10 2946    0.9594  0.0299  0.0441
  +1.566 +1.653  5  10 2721    0.9670  0.0512  0.0043
  +1.653 +1.740  5  10 2511    0.9666  0.0486  0.0019
  +1.740 +1.830  5  10 2315    0.9745  0.0421 -0.0475
  +1.830 +1.930  5  10 2126    0.9733  0.0439 -0.0410
  +1.930 +2.043  5  10 1933    0.9692  0.0296 -0.0557
  +2.043 +2.172  5  10 1733    0.9701  0.0160 -0.1341
  +2.172 +2.322  5  10 1529    0.9856  0.0096 -0.3314
  +2.322 +2.500  5  10 1321    0.8925  0.0848  0.1252
  +2.500 +2.650  5  10 1108    0.8017  0.1217  0.1002
  +2.650 +2.853  5  10  956    0.7578  0.1169  0.2949
  +2.853 +2.964  5  10  781    0.8077  0.0689 -0.4077
  +2.964 +3.139  5  10  700    0.8732  0.1159  0.5000
  +3.139 +3.314  5  10  588    0.9425  0.0853  0.2616
  +3.314 +3.489  5  10  493    0.9847  0.0312  0.1086
  +3.489 +3.664  5  10  414    0.9508  0.0719  0.2690
  +3.664 +3.839  5  10  348    0.9467  0.0803  0.2994
  +3.839 +4.013  5  10  292    0.9142  0.1766  0.4857
  +4.013 +4.191  5  10  245    0.9398  0.0452  0.2187
  +4.191 +4.363  5  10  205    0.8907  0.1629  0.5000
  +4.363 +4.538  5  10  173    0.9487  0.2458  0.5000
  +4.538 +4.716  5  10  145    1.0197 -0.0891 -0.1046
  +4.716 +4.889  5  10  121    0.9815  0.0461  0.5000
  +4.889 +5.191  5  10  102    1.0585  0.0700  0.1582
