{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)+[3]*log10(x/10.)/(x/10.)) Correction L2Relative}
  -5.191 -4.889  6  12  121    1.0084 -0.1740 -0.0355 -0.0016
  -4.889 -4.716  6  15  154    1.1338 -0.1108  0.5345 -1.1859
  -4.716 -4.538  6  8  171    1.1253 -0.3091 -0.5849 -0.4798
  -4.538 -4.363  6  13  208    1.0090  0.0113  0.3634 -0.4820
  -4.363 -4.191  6  13  231    0.9656 -0.0342  0.3847 -0.5453
  -4.191 -4.013  6  10  275    0.9890 -0.1155 -0.0988 -0.0136
  -4.013 -3.839  6  12  353    0.9869  0.0490  0.3945 -0.4481
  -3.839 -3.664  6  10  399    1.0047 -0.0770 -0.1216 -0.0024
  -3.664 -3.489  6  12  493    0.9736  0.0230  0.2165 -0.1083
  -3.489 -3.314  6  11  598    0.9828  0.0330  0.1331 -0.0139
  -3.314 -3.139  6  11  713    0.9609  0.0573  0.2347 -0.1174
  -3.139 -2.964  6  13  829    0.9292  0.0661  0.5197 -0.5942
  -2.964 -2.853  6  5  840    0.7860  0.1197 -0.0604 -0.0270
  -2.853 -2.650  6  9 1013    0.7863  0.0952  0.2348 -0.1698
  -2.650 -2.500  6  9 1254    0.8135  0.1165  0.1852 -0.0839
  -2.500 -2.322  6  10 1577    0.8974  0.0808  0.1192 -0.0241
  -2.322 -2.172  6  6 1834    0.9965  0.0040 -0.2748 -0.1896
  -2.172 -2.043  6  9 2069    0.9609  0.0261 -0.0811 -0.0165
  -2.043 -1.930  6  9 2346    0.9655  0.0337 -0.0449 -0.0048
  -1.930 -1.830  6  9 2641    0.9688  0.0463 -0.0323  0.0035
  -1.830 -1.740  6  9 2875    0.9733  0.0423 -0.0387 -0.0033
  -1.740 -1.653  6  9 3131    0.9617  0.0520  0.0207  0.0027
  -1.653 -1.566  6  9 3408    0.9623  0.0535  0.0165  0.0032
  -1.566 -1.479  6  10 3566    0.9521  0.0367  0.0900 -0.0008
  -1.479 -1.392  6  7 3631    1.0220 -0.0455 -0.2801 -0.1499
  -1.392 -1.305  6  9 4008    1.0110 -0.0235 -0.1760 -0.0425
  -1.305 -1.218  6  9 4373    1.0141 -0.0172 -0.1510 -0.0298
  -1.218 -1.131  6  10 4680    0.9998 -0.0112 -0.0713 -0.0014
  -1.131 -1.044  6  10 4982    0.9977 -0.0135 -0.0531  0.0008
  -1.044 -0.957  6  10 5418    1.0029 -0.0061 -0.0717 -0.0061
  -0.957 -0.879  6  10 5703    1.0030 -0.0094 -0.0681 -0.0014
  -0.879 -0.783  6  10 6108    1.0048 -0.0082 -0.0296  0.0001
  -0.783 -0.696  6  11 6628    0.9905  0.0147  0.1097 -0.0093
  -0.696 -0.609  6  10 6871    1.0054 -0.0013  0.0052  0.0001
  -0.609 -0.522  6  10 7107    1.0061 -0.0074 -0.0254  0.0000
  -0.522 -0.435  6  10 7480    0.9943  0.0055  0.0375  0.0003
  -0.435 -0.348  6  10 7660    0.9998 -0.0019  0.0046  0.0000
  -0.348 -0.261  6  11 8056    0.9916  0.0155  0.1035 -0.0080
