{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    1.0277  0.0284  0.1081
  -4.889 -4.716  5  10  121    0.9502  0.0430  0.5000
  -4.716 -4.538  5  10  145    0.9717  0.0857  0.1228
  -4.538 -4.363  5  10  173    0.9140  0.2170  0.4720
  -4.363 -4.191  5  10  205    0.9234  0.0438  0.1228
  -4.191 -4.013  5  10  245    0.9318  0.0409  0.1098
  -4.013 -3.839  5  10  292    0.9054  0.1289  0.3505
  -3.839 -3.664  5  10  348    0.9261  0.0812  0.2352
  -3.664 -3.489  5  10  414    0.9360  0.0498  0.1915
  -3.489 -3.314  5  10  493    0.9589  0.0539  0.1033
  -3.314 -3.139  5  10  588    0.9511  0.0639  0.1692
  -3.139 -2.964  5  10  700    0.8799  0.0915  0.4069
  -2.964 -2.853  5  10  781    0.7814  0.1014  0.1806
  -2.853 -2.650  5  10  956    0.8005  0.0956 -0.5000
  -2.650 -2.500  5  10 1108    0.8291  0.1030 -0.1260
  -2.500 -2.322  5  10 1321    0.9243  0.0317 -0.5000
  -2.322 -2.172  5  10 1529    0.9688  0.0275 -0.4649
  -2.172 -2.043  5  10 1733    0.9533  0.0276 -0.2725
  -2.043 -1.930  5  10 1933    0.9472  0.0339 -0.2383
  -1.930 -1.830  5  10 2126    0.9413  0.0365 -0.2001
  -1.830 -1.740  5  10 2315    0.9505  0.0339 -0.3050
  -1.740 -1.653  5  10 2511    0.9364  0.0471 -0.1313
  -1.653 -1.566  5  10 2721    0.9345  0.0458 -0.0964
  -1.566 -1.479  5  10 2946    0.9329  0.0231 -0.0803
  -1.479 -1.392  5  10 3183    0.9463  0.0322 -0.0234
  -1.392 -1.305  5  10 3435    0.9647  0.0550  0.0461
  -1.305 -1.218  5  10 3699    0.9727  0.0515  0.0353
  -1.218 -1.131  5  10 3974    0.9748  0.0288  0.0389
  -1.131 -1.044  5  10 4259    0.9783  0.0169  0.0206
  -1.044 -0.957  5  10 4551    0.9811  0.0158  0.0192
  -0.957 -0.879  5  10 4816    0.9840  0.0083  0.0253
  -0.879 -0.783  5  10 5141    0.9932  0.0027 -0.0052
  -0.783 -0.696  5  10 5430    0.9930  0.0149  0.0491
  -0.696 -0.609  5  10 5708    1.0035 -0.0050 -0.0060
  -0.609 -0.522  5  10 5968    1.0070 -0.0083 -0.0144
  -0.522 -0.435  5  10 6203    1.0118 -0.0092 -0.0301
  -0.435 -0.348  5  10 6408    1.0156 -0.0116 -0.0278
  -0.348 -0.261  5  10 6574    1.0118 -0.0149 -0.0032
  -0.261 -0.174  5  10 6698    1.0145 -0.0178 -0.0098
  -0.174 -0.087  5  10 6774    1.0147 -0.0090  0.0207
  -0.087 -0.000  5  10 6800    1.0120 -0.0211  0.0125
  +0.000 +0.087  5  10 6800    1.0120 -0.0211  0.0125
  +0.087 +0.174  5  10 6774    1.0147 -0.0090  0.0207
  +0.174 +0.261  5  10 6698    1.0145 -0.0178 -0.0098
  +0.261 +0.348  5  10 6574    1.0118 -0.0149 -0.0032
  +0.348 +0.435  5  10 6408    1.0156 -0.0116 -0.0278
  +0.435 +0.522  5  10 6203    1.0118 -0.0092 -0.0301
  +0.522 +0.609  5  10 5968    1.0070 -0.0083 -0.0144
  +0.609 +0.696  5  10 5708    1.0035 -0.0050 -0.0060
  +0.696 +0.783  5  10 5430    0.9930  0.0149  0.0491
  +0.783 +0.879  5  10 5141    0.9932  0.0027 -0.0052
  +0.879 +0.957  5  10 4816    0.9840  0.0083  0.0253
  +0.957 +1.044  5  10 4551    0.9811  0.0158  0.0192
  +1.044 +1.131  5  10 4259    0.9783  0.0169  0.0206
  +1.131 +1.218  5  10 3974    0.9748  0.0288  0.0389
  +1.218 +1.305  5  10 3699    0.9727  0.0515  0.0353
  +1.305 +1.392  5  10 3435    0.9647  0.0550  0.0461
  +1.392 +1.479  5  10 3183    0.9463  0.0322 -0.0234
  +1.479 +1.566  5  10 2946    0.9329  0.0231 -0.0803
  +1.566 +1.653  5  10 2721    0.9345  0.0458 -0.0964
  +1.653 +1.740  5  10 2511    0.9364  0.0471 -0.1313
  +1.740 +1.830  5  10 2315    0.9505  0.0339 -0.3050
  +1.830 +1.930  5  10 2126    0.9413  0.0365 -0.2001
  +1.930 +2.043  5  10 1933    0.9472  0.0339 -0.2383
  +2.043 +2.172  5  10 1733    0.9533  0.0276 -0.2725
  +2.172 +2.322  5  10 1529    0.9688  0.0275 -0.4649
  +2.322 +2.500  5  10 1321    0.9243  0.0317 -0.5000
  +2.500 +2.650  5  10 1108    0.8291  0.1030 -0.1260
  +2.650 +2.853  5  10  956    0.8005  0.0956 -0.5000
  +2.853 +2.964  5  10  781    0.7814  0.1014  0.1806
  +2.964 +3.139  5  10  700    0.8799  0.0915  0.4069
  +3.139 +3.314  5  10  588    0.9511  0.0639  0.1692
  +3.314 +3.489  5  10  493    0.9589  0.0539  0.1033
  +3.489 +3.664  5  10  414    0.9360  0.0498  0.1915
  +3.664 +3.839  5  10  348    0.9261  0.0812  0.2352
  +3.839 +4.013  5  10  292    0.9054  0.1289  0.3505
  +4.013 +4.191  5  10  245    0.9318  0.0409  0.1098
  +4.191 +4.363  5  10  205    0.9234  0.0438  0.1228
  +4.363 +4.538  5  10  173    0.9140  0.2170  0.4720
  +4.538 +4.716  5  10  145    0.9717  0.0857  0.1228
  +4.716 +4.889  5  10  121    0.9502  0.0430  0.5000
  +4.889 +5.191  5  10  102    1.0277  0.0284  0.1081
