{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)+[3]*log10(x/10.)/(x/10.)) Correction L2Relative}
  -5.191 -4.889  6  9  125    1.1606 -0.3946 -0.6523 -0.5357
  -4.889 -4.716  6  13  146    1.0346 -0.1910  0.0768 -0.0310
  -4.716 -4.538  6  11  175    0.9883  0.1043  0.2570 -0.2979
  -4.538 -4.363  6  9  191    0.9935 -0.1810 -0.2481 -0.1040
  -4.363 -4.191  6  10  225    0.9280 -0.0463  0.0582 -0.0082
  -4.191 -4.013  6  8  269    1.0120 -0.1713 -0.3645 -0.2369
  -4.013 -3.839  6  11  348    0.9336  0.1081  0.2397 -0.1827
  -3.839 -3.664  6  10  407    0.9445  0.0442  0.1099 -0.0003
  -3.664 -3.489  6  11  479    0.9414  0.0295  0.1628 -0.0209
  -3.489 -3.314  6  10  589    0.9745  0.0268 -0.0123  0.0017
  -3.314 -3.139  6  11  710    0.9581  0.0558  0.1544 -0.0496
  -3.139 -2.964  6  12  814    0.9158  0.0589  0.3265 -0.2430
  -2.964 -2.853  6  10  840    0.8125  0.0896  0.2400 -0.1766
  -2.853 -2.650  6  2 1037    0.8231  0.0860 -0.2432 -0.2216
  -2.650 -2.500  6  7 1269    0.8285  0.1136  0.0033  0.0025
  -2.500 -2.322  6  4 1522    0.9403  0.0204 -0.3226 -0.2896
  -2.322 -2.172  6  5 1842    0.9834  0.0184 -0.3306 -0.2874
  -2.172 -2.043  6  7 2061    0.9597  0.0244 -0.2127 -0.1311
  -2.043 -1.930  6  7 2299    0.9591  0.0239 -0.2155 -0.1341
  -1.930 -1.830  6  7 2533    0.9448  0.0343 -0.1663 -0.0840
  -1.830 -1.740  6  6 2775    0.9558  0.0304 -0.2228 -0.1376
  -1.740 -1.653  6  8 3039    0.9325  0.0515 -0.0805 -0.0203
  -1.653 -1.566  6  8 3286    0.9319  0.0492 -0.0690 -0.0139
  -1.566 -1.479  6  9 3423    0.9281  0.0265 -0.0438 -0.0044
  -1.479 -1.392  6  9 3789    0.9477  0.0281 -0.0407 -0.0032
  -1.392 -1.305  6  10 4351    0.9605  0.0581  0.0748  0.0040
  -1.305 -1.218  6  10 4685    0.9753  0.0483  0.0198  0.0021
  -1.218 -1.131  6  10 4877    0.9738  0.0290  0.0287  0.0014
  -1.131 -1.044  6  10 5153    0.9749  0.0195  0.0516 -0.0002
  -1.044 -0.957  6  10 5545    0.9752  0.0230  0.0598 -0.0002
  -0.957 -0.879  6  10 5780    0.9821  0.0102  0.0314 -0.0001
  -0.879 -0.783  6  10 6153    0.9932  0.0023 -0.0136  0.0002
