{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    1.0120  0.0206  0.0952
  -4.889 -4.716  5  10  121    0.9499 -0.1023  0.2906
  -4.716 -4.538  5  10  145    0.9316  0.0608  0.1569
  -4.538 -4.363  5  10  173    0.8829  0.1200  0.3925
  -4.363 -4.191  5  10  205    0.9100  0.0125  0.0714
  -4.191 -4.013  5  10  245    0.9075  0.0473  0.1812
  -4.013 -3.839  5  10  292    0.9031  0.1116  0.3021
  -3.839 -3.664  5  10  348    0.9199  0.0566  0.2272
  -3.664 -3.489  5  10  414    0.9370  0.0314  0.1260
  -3.489 -3.314  5  10  493    0.9559  0.0359  0.0801
  -3.314 -3.139  5  10  588    0.9474  0.0590  0.1265
  -3.139 -2.964  5  10  700    0.8736  0.0869  0.3738
  -2.964 -2.853  5  10  781    0.7580  0.1116  0.2500
  -2.853 -2.650  5  10  956    0.7828  0.0926 -0.5000
  -2.650 -2.500  5  10 1108    0.8197  0.1167 -0.1167
  -2.500 -2.322  5  10 1321    0.9185  0.0394 -0.5000
  -2.322 -2.172  5  10 1529    0.9694  0.0256 -0.5000
  -2.172 -2.043  5  10 1733    0.9591  0.0231 -0.3606
  -2.043 -1.930  5  10 1933    0.9620  0.0195 -0.3867
  -1.930 -1.830  5  10 2126    0.9417  0.0356 -0.2268
  -1.830 -1.740  5  10 2315    0.9521  0.0325 -0.3466
  -1.740 -1.653  5  10 2511    0.9440  0.0407 -0.2306
  -1.653 -1.566  5  10 2721    0.9391  0.0420 -0.1502
  -1.566 -1.479  5  10 2946    0.9363  0.0169 -0.1227
  -1.479 -1.392  5  10 3183    0.9498  0.0277 -0.0569
  -1.392 -1.305  5  10 3435    0.9662  0.0564  0.0181
  -1.305 -1.218  5  10 3699    0.9733  0.0539  0.0165
  -1.218 -1.131  5  10 3974    0.9716  0.0340  0.0497
  -1.131 -1.044  5  10 4259    0.9784  0.0178  0.0224
  -1.044 -0.957  5  10 4551    0.9814  0.0167  0.0136
  -0.957 -0.879  5  10 4816    0.9865  0.0077  0.0072
  -0.879 -0.783  5  10 5141    0.9934  0.0030  0.0035
  -0.783 -0.696  5  10 5430    0.9956  0.0136  0.0395
  -0.696 -0.609  5  10 5708    1.0037 -0.0041 -0.0103
  -0.609 -0.522  5  10 5968    1.0056 -0.0065  0.0128
  -0.522 -0.435  5  10 6203    1.0120 -0.0095 -0.0266
  -0.435 -0.348  5  10 6408    1.0158 -0.0126 -0.0158
  -0.348 -0.261  5  10 6574    1.0122 -0.0171 -0.0019
  -0.261 -0.174  5  10 6698    1.0118 -0.0163  0.0090
  -0.174 -0.087  5  10 6774    1.0115 -0.0070  0.0267
  -0.087 -0.000  5  10 6800    1.0130 -0.0255 -0.0073
  +0.000 +0.087  5  10 6800    1.0130 -0.0255 -0.0073
  +0.087 +0.174  5  10 6774    1.0115 -0.0070  0.0267
  +0.174 +0.261  5  10 6698    1.0118 -0.0163  0.0090
  +0.261 +0.348  5  10 6574    1.0122 -0.0171 -0.0019
  +0.348 +0.435  5  10 6408    1.0158 -0.0126 -0.0158
  +0.435 +0.522  5  10 6203    1.0120 -0.0095 -0.0266
  +0.522 +0.609  5  10 5968    1.0056 -0.0065  0.0128
  +0.609 +0.696  5  10 5708    1.0037 -0.0041 -0.0103
  +0.696 +0.783  5  10 5430    0.9956  0.0136  0.0395
  +0.783 +0.879  5  10 5141    0.9934  0.0030  0.0035
  +0.879 +0.957  5  10 4816    0.9865  0.0077  0.0072
  +0.957 +1.044  5  10 4551    0.9814  0.0167  0.0136
  +1.044 +1.131  5  10 4259    0.9784  0.0178  0.0224
  +1.131 +1.218  5  10 3974    0.9716  0.0340  0.0497
  +1.218 +1.305  5  10 3699    0.9733  0.0539  0.0165
  +1.305 +1.392  5  10 3435    0.9662  0.0564  0.0181
  +1.392 +1.479  5  10 3183    0.9498  0.0277 -0.0569
  +1.479 +1.566  5  10 2946    0.9363  0.0169 -0.1227
  +1.566 +1.653  5  10 2721    0.9391  0.0420 -0.1502
  +1.653 +1.740  5  10 2511    0.9440  0.0407 -0.2306
  +1.740 +1.830  5  10 2315    0.9521  0.0325 -0.3466
  +1.830 +1.930  5  10 2126    0.9417  0.0356 -0.2268
  +1.930 +2.043  5  10 1933    0.9620  0.0195 -0.3867
  +2.043 +2.172  5  10 1733    0.9591  0.0231 -0.3606
  +2.172 +2.322  5  10 1529    0.9694  0.0256 -0.5000
  +2.322 +2.500  5  10 1321    0.9185  0.0394 -0.5000
  +2.500 +2.650  5  10 1108    0.8197  0.1167 -0.1167
  +2.650 +2.853  5  10  956    0.7828  0.0926 -0.5000
  +2.853 +2.964  5  10  781    0.7580  0.1116  0.2500
  +2.964 +3.139  5  10  700    0.8736  0.0869  0.3738
  +3.139 +3.314  5  10  588    0.9474  0.0590  0.1265
  +3.314 +3.489  5  10  493    0.9559  0.0359  0.0801
  +3.489 +3.664  5  10  414    0.9370  0.0314  0.1260
  +3.664 +3.839  5  10  348    0.9199  0.0566  0.2272
  +3.839 +4.013  5  10  292    0.9031  0.1116  0.3021
  +4.013 +4.191  5  10  245    0.9075  0.0473  0.1812
  +4.191 +4.363  5  10  205    0.9100  0.0125  0.0714
  +4.363 +4.538  5  10  173    0.8829  0.1200  0.3925
  +4.538 +4.716  5  10  145    0.9316  0.0608  0.1569
  +4.716 +4.889  5  10  121    0.9499 -0.1023  0.2906
  +4.889 +5.191  5  10  102    1.0120  0.0206  0.0952
