{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)+[3]*log10(x/10.)/(x/10.)) Correction L2Relative}
  -5.191 -4.889  6  10  122    1.0172 -0.0971 -0.1122  0.0025
  -4.889 -4.716  6  11  142    1.0558 -0.3214 -0.2826 -0.1003
  -4.716 -4.538  6  9  163    0.9388 -0.0058 -0.0119  0.0002
  -4.538 -4.363  6  11  181    0.8955 -0.0936  0.0516 -0.0195
  -4.363 -4.191  6  10  229    0.9111  0.0408  0.1252 -0.0542
  -4.191 -4.013  6  10  272    0.9217 -0.0001  0.0607 -0.0023
  -4.013 -3.839  6  11  340    0.9273  0.0791  0.2253 -0.1603
  -3.839 -3.664  6  11  399    0.9366  0.0304  0.1745 -0.0817
  -3.664 -3.489  6  11  479    0.9397  0.0317  0.1316 -0.0426
  -3.489 -3.314  6  10  580    0.9672  0.0142  0.0266 -0.0001
  -3.314 -3.139  6  10  709    0.9476  0.0664  0.1212  0.0006
  -3.139 -2.964  6  11  809    0.9036  0.0666  0.3476 -0.2870
  -2.964 -2.853  6  11  827    0.8077  0.0827  0.3519 -0.4082
  -2.853 -2.650  6  2 1018    0.7942  0.0972 -0.2050 -0.1818
  -2.650 -2.500  6  7 1279    0.8100  0.1361  0.0543  0.0041
  -2.500 -2.322  6  4 1527    0.9302  0.0312 -0.3136 -0.2838
  -2.322 -2.172  6  4 1838    0.9773  0.0217 -0.3337 -0.2965
  -2.172 -2.043  6  6 2062    0.9601  0.0250 -0.2525 -0.1765
  -2.043 -1.930  6  6 2298    0.9635  0.0212 -0.2706 -0.1990
  -1.930 -1.830  6  7 2540    0.9383  0.0406 -0.1608 -0.0831
  -1.830 -1.740  6  6 2788    0.9491  0.0382 -0.2203 -0.1401
  -1.740 -1.653  6  7 3041    0.9374  0.0483 -0.1452 -0.0691
  -1.653 -1.566  6  8 3287    0.9329  0.0485 -0.0985 -0.0305
  -1.566 -1.479  6  8 3433    0.9255  0.0298 -0.0581 -0.0088
  -1.479 -1.392  6  9 3810    0.9495  0.0303 -0.0612 -0.0089
  -1.392 -1.305  6  9 4365    0.9644  0.0579  0.0185  0.0039
  -1.305 -1.218  6  10 4712    0.9720  0.0537  0.0167  0.0029
  -1.218 -1.131  6  10 4892    0.9733  0.0311  0.0238  0.0009
  -1.131 -1.044  6  10 5166    0.9766  0.0199  0.0337 -0.0001
  -1.044 -0.957  6  10 5533    0.9805  0.0187 -0.0010  0.0008
  -0.957 -0.879  6  10 5773    0.9864  0.0071  0.0026  0.0001
  -0.879 -0.783  6  10 6165    0.9920  0.0041  0.0080 -0.0000
  -0.783 -0.696  6  10 6640    0.9958  0.0127  0.0271  0.0000
  -0.696 -0.609  6  10 6835    1.0020 -0.0023 -0.0089  0.0000
  -0.609 -0.522  6  11 7110    1.0048 -0.0064  0.0209  0.0005
  -0.522 -0.435  6  10 7399    1.0116 -0.0094 -0.0188 -0.0000
  -0.435 -0.348  6  10 7638    1.0148 -0.0114 -0.0049  0.0002
  -0.348 -0.261  6  11 7738    1.0133 -0.0171  0.0058  0.0007
  -0.261 -0.174  6  11 7886    1.0119 -0.0162  0.0203  0.0012
  -0.174 -0.087  6  11 8097    1.0145 -0.0096  0.0150  0.0007
  -0.087 -0.000  6  11 7869    1.0142 -0.0261 -0.0029  0.0009
  +0.000 +0.087  6  11 7869    1.0142 -0.0261 -0.0029  0.0009
  +0.087 +0.174  6  11 8097    1.0145 -0.0096  0.0150  0.0007
  +0.174 +0.261  6  11 7886    1.0119 -0.0162  0.0203  0.0012
  +0.261 +0.348  6  11 7738    1.0133 -0.0171  0.0058  0.0007
  +0.348 +0.435  6  10 7638    1.0148 -0.0114 -0.0049  0.0002
  +0.435 +0.522  6  10 7399    1.0116 -0.0094 -0.0188 -0.0000
  +0.522 +0.609  6  11 7110    1.0048 -0.0064  0.0209  0.0005
  +0.609 +0.696  6  10 6835    1.0020 -0.0023 -0.0089  0.0000
  +0.696 +0.783  6  10 6640    0.9958  0.0127  0.0271  0.0000
  +0.783 +0.879  6  10 6165    0.9920  0.0041  0.0080 -0.0000
  +0.879 +0.957  6  10 5773    0.9864  0.0071  0.0026  0.0001
  +0.957 +1.044  6  10 5533    0.9805  0.0187 -0.0010  0.0008
  +1.044 +1.131  6  10 5166    0.9766  0.0199  0.0337 -0.0001
  +1.131 +1.218  6  10 4892    0.9733  0.0311  0.0238  0.0009
  +1.218 +1.305  6  10 4712    0.9720  0.0537  0.0167  0.0029
  +1.305 +1.392  6  9 4365    0.9644  0.0579  0.0185  0.0039
  +1.392 +1.479  6  9 3810    0.9495  0.0303 -0.0612 -0.0089
  +1.479 +1.566  6  8 3433    0.9255  0.0298 -0.0581 -0.0088
  +1.566 +1.653  6  8 3287    0.9329  0.0485 -0.0985 -0.0305
  +1.653 +1.740  6  7 3041    0.9374  0.0483 -0.1452 -0.0691
  +1.740 +1.830  6  6 2788    0.9491  0.0382 -0.2203 -0.1401
  +1.830 +1.930  6  7 2540    0.9383  0.0406 -0.1608 -0.0831
  +1.930 +2.043  6  6 2298    0.9635  0.0212 -0.2706 -0.1990
  +2.043 +2.172  6  6 2062    0.9601  0.0250 -0.2525 -0.1765
  +2.172 +2.322  6  4 1838    0.9773  0.0217 -0.3337 -0.2965
  +2.322 +2.500  6  4 1527    0.9302  0.0312 -0.3136 -0.2838
  +2.500 +2.650  6  7 1279    0.8100  0.1361  0.0543  0.0041
  +2.650 +2.853  6  2 1018    0.7942  0.0972 -0.2050 -0.1818
  +2.853 +2.964  6  11  827    0.8077  0.0827  0.3519 -0.4082
  +2.964 +3.139  6  11  809    0.9036  0.0666  0.3476 -0.2870
  +3.139 +3.314  6  10  709    0.9476  0.0664  0.1212  0.0006
  +3.314 +3.489  6  10  580    0.9672  0.0142  0.0266 -0.0001
  +3.489 +3.664  6  11  479    0.9397  0.0317  0.1316 -0.0426
