{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.9928 -0.2327 -0.2968
  -4.889 -4.716  5  10  121    1.0722 -0.1304 -0.0865
  -4.716 -4.538  5  10  145    0.9601  0.0814  0.1374
  -4.538 -4.363  5  10  173    0.8926 -0.0393  0.1487
  -4.363 -4.191  5  10  205    0.8713  0.1087  0.3551
  -4.191 -4.013  5  10  245    0.9244 -0.0060  0.0428
  -4.013 -3.839  5  10  292    0.9406 -0.0094  0.0328
  -3.839 -3.664  5  10  348    0.9423 -0.0086  0.0781
  -3.664 -3.489  5  10  414    0.9460 -0.0009  0.0460
  -3.489 -3.314  5  10  493    0.9823 -0.0206 -0.1109
  -3.314 -3.139  5  10  588    0.9579  0.0311  0.0614
  -3.139 -2.964  5  10  700    0.8615  0.0885  0.4496
  -2.964 -2.853  5  10  781    0.7323  0.1111  0.2845
  -2.853 -2.650  5  10  956    0.7577  0.1107 -0.4530
  -2.650 -2.500  5  10 1108    0.8054  0.1266 -0.0925
  -2.500 -2.322  5  10 1321    0.8988  0.0597 -0.3968
  -2.322 -2.172  5  10 1529    0.9651  0.0292 -0.4983
  -2.172 -2.043  5  10 1733    0.9470  0.0382 -0.2778
  -2.043 -1.930  5  10 1933    0.9487  0.0353 -0.2976
  -1.930 -1.830  5  10 2126    0.9355  0.0432 -0.1976
  -1.830 -1.740  5  10 2315    0.9439  0.0432 -0.3027
  -1.740 -1.653  5  10 2511    0.9273  0.0596 -0.1478
  -1.653 -1.566  5  10 2721    0.9307  0.0508 -0.1072
  -1.566 -1.479  5  10 2946    0.9239  0.0310 -0.0702
  -1.479 -1.392  5  10 3183    0.9402  0.0382 -0.0201
  -1.392 -1.305  5  10 3435    0.9618  0.0640  0.0405
  -1.305 -1.218  5  10 3699    0.9750  0.0525  0.0009
  -1.218 -1.131  5  10 3974    0.9675  0.0356  0.0563
  -1.131 -1.044  5  10 4259    0.9776  0.0190 -0.0051
  -1.044 -0.957  5  10 4551    0.9836  0.0155 -0.0083
  -0.957 -0.879  5  10 4816    0.9842  0.0119  0.0319
  -0.879 -0.783  5  10 5141    0.9926  0.0058  0.0117
  -0.783 -0.696  5  10 5430    0.9968  0.0117  0.0293
  -0.696 -0.609  5  10 5708    1.0070 -0.0076 -0.0130
  -0.609 -0.522  5  10 5968    1.0039 -0.0047  0.0131
  -0.522 -0.435  5  10 6203    1.0105 -0.0085 -0.0205
  -0.435 -0.348  5  10 6408    1.0179 -0.0153 -0.0313
  -0.348 -0.261  5  10 6574    1.0115 -0.0161  0.0142
  -0.261 -0.174  5  10 6698    1.0124 -0.0184  0.0122
  -0.174 -0.087  5  10 6774    1.0123 -0.0094  0.0216
  -0.087 -0.000  5  10 6800    1.0105 -0.0229  0.0204
  +0.000 +0.087  5  10 6800    1.0105 -0.0229  0.0204
  +0.087 +0.174  5  10 6774    1.0123 -0.0094  0.0216
  +0.174 +0.261  5  10 6698    1.0124 -0.0184  0.0122
  +0.261 +0.348  5  10 6574    1.0115 -0.0161  0.0142
  +0.348 +0.435  5  10 6408    1.0179 -0.0153 -0.0313
  +0.435 +0.522  5  10 6203    1.0105 -0.0085 -0.0205
  +0.522 +0.609  5  10 5968    1.0039 -0.0047  0.0131
  +0.609 +0.696  5  10 5708    1.0070 -0.0076 -0.0130
  +0.696 +0.783  5  10 5430    0.9968  0.0117  0.0293
  +0.783 +0.879  5  10 5141    0.9926  0.0058  0.0117
  +0.879 +0.957  5  10 4816    0.9842  0.0119  0.0319
  +0.957 +1.044  5  10 4551    0.9836  0.0155 -0.0083
  +1.044 +1.131  5  10 4259    0.9776  0.0190 -0.0051
  +1.131 +1.218  5  10 3974    0.9675  0.0356  0.0563
  +1.218 +1.305  5  10 3699    0.9750  0.0525  0.0009
  +1.305 +1.392  5  10 3435    0.9618  0.0640  0.0405
  +1.392 +1.479  5  10 3183    0.9402  0.0382 -0.0201
  +1.479 +1.566  5  10 2946    0.9239  0.0310 -0.0702
  +1.566 +1.653  5  10 2721    0.9307  0.0508 -0.1072
  +1.653 +1.740  5  10 2511    0.9273  0.0596 -0.1478
  +1.740 +1.830  5  10 2315    0.9439  0.0432 -0.3027
  +1.830 +1.930  5  10 2126    0.9355  0.0432 -0.1976
  +1.930 +2.043  5  10 1933    0.9487  0.0353 -0.2976
  +2.043 +2.172  5  10 1733    0.9470  0.0382 -0.2778
  +2.172 +2.322  5  10 1529    0.9651  0.0292 -0.4983
  +2.322 +2.500  5  10 1321    0.8988  0.0597 -0.3968
  +2.500 +2.650  5  10 1108    0.8054  0.1266 -0.0925
  +2.650 +2.853  5  10  956    0.7577  0.1107 -0.4530
  +2.853 +2.964  5  10  781    0.7323  0.1111  0.2845
  +2.964 +3.139  5  10  700    0.8615  0.0885  0.4496
  +3.139 +3.314  5  10  588    0.9579  0.0311  0.0614
  +3.314 +3.489  5  10  493    0.9823 -0.0206 -0.1109
  +3.489 +3.664  5  10  414    0.9460 -0.0009  0.0460
  +3.664 +3.839  5  10  348    0.9423 -0.0086  0.0781
  +3.839 +4.013  5  10  292    0.9406 -0.0094  0.0328
  +4.013 +4.191  5  10  245    0.9244 -0.0060  0.0428
  +4.191 +4.363  5  10  205    0.8713  0.1087  0.3551
  +4.363 +4.538  5  10  173    0.8926 -0.0393  0.1487
  +4.538 +4.716  5  10  145    0.9601  0.0814  0.1374
  +4.716 +4.889  5  10  121    1.0722 -0.1304 -0.0865
  +4.889 +5.191  5  10  102    0.9928 -0.2327 -0.2968
