{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)+[3]*log10(x/10.)/(x/10.)) Correction L2Relative}
  -5.191 -4.889  6  9  116    1.0828 -0.4516 -0.6612 -0.5451
  -4.889 -4.716  6  13  164    1.1338  0.1131  0.3971 -0.8064
  -4.716 -4.538  6  11  172    0.9768  0.0765  0.2588 -0.3077
  -4.538 -4.363  6  9  171    0.9818 -0.4249 -0.5257 -0.3620
  -4.363 -4.191  6  11  216    0.8945 -0.0567  0.2171 -0.1796
  -4.191 -4.013  6  8  260    1.0019 -0.2145 -0.4122 -0.2873
  -4.013 -3.839  6  10  328    0.9309  0.0051  0.0646 -0.0018
  -3.839 -3.664  6  9  387    0.9732 -0.0690 -0.1731 -0.0381
  -3.664 -3.489  6  11  475    0.9351  0.0286  0.2094 -0.1120
  -3.489 -3.314  6  9  577    0.9795 -0.0040 -0.0995 -0.0197
  -3.314 -3.139  6  10  700    0.9506  0.0489  0.0405  0.0031
  -3.139 -2.964  6  13  796    0.9171  0.0386  0.5324 -0.6324
  -2.964 -2.853  6  11  801    0.7919  0.0730  0.3968 -0.5737
  -2.853 -2.650  6  4 1015    0.7419  0.1435 -0.0649 -0.0372
  -2.650 -2.500  6  7 1268    0.8030  0.1359  0.0518  0.0045
  -2.500 -2.322  6  5 1541    0.9000  0.0625 -0.2071 -0.1497
  -2.322 -2.172  6  4 1838    0.9780  0.0212 -0.3341 -0.2964
  -2.172 -2.043  6  6 2072    0.9578  0.0301 -0.2290 -0.1474
  -2.043 -1.930  6  6 2305    0.9632  0.0234 -0.2541 -0.1761
  -1.930 -1.830  6  7 2532    0.9507  0.0296 -0.2019 -0.1225
  -1.830 -1.740  6  6 2791    0.9551  0.0348 -0.2342 -0.1553
  -1.740 -1.653  6  7 3056    0.9342  0.0537 -0.1350 -0.0618
  -1.653 -1.566  6  8 3286    0.9377  0.0453 -0.1153 -0.0411
  -1.566 -1.479  6  8 3411    0.9335  0.0207 -0.1178 -0.0372
  -1.479 -1.392  6  9 3817    0.9442  0.0349 -0.0539 -0.0068
  -1.392 -1.305  6  10 4392    0.9603  0.0642  0.0482  0.0092
  -1.305 -1.218  6  9 4687    0.9833  0.0436 -0.0636 -0.0095
  -1.218 -1.131  6  10 4899    0.9662  0.0362  0.0614 -0.0002
  -1.131 -1.044  6  10 5178    0.9753  0.0221  0.0018  0.0010
  -1.044 -0.957  6  10 5529    0.9830  0.0169 -0.0035  0.0007
  -0.957 -0.879  6  10 5791    0.9864  0.0089  0.0156 -0.0000
  -0.879 -0.783  6  10 6219    0.9889  0.0106  0.0404  0.0001
  -0.783 -0.696  6  10 6638    0.9966  0.0121  0.0294  0.0001
  -0.696 -0.609  6  10 6797    1.0082 -0.0087 -0.0182 -0.0000
  -0.609 -0.522  6  11 7133    1.0023 -0.0034  0.0245  0.0005
  -0.522 -0.435  6  10 7397    1.0102 -0.0088 -0.0248 -0.0000
  -0.435 -0.348  6  10 7601    1.0181 -0.0157 -0.0355 -0.0001
  -0.348 -0.261  6  11 7738    1.0111 -0.0160  0.0208  0.0012
  -0.261 -0.174  6  11 7856    1.0132 -0.0188  0.0034  0.0007
  -0.174 -0.087  6  11 8095    1.0103 -0.0076  0.0569  0.0027
  -0.087 -0.000  6  11 7863    1.0134 -0.0261 -0.0069  0.0008
  +0.000 +0.087  6  11 7863    1.0134 -0.0261 -0.0069  0.0008
  +0.087 +0.174  6  11 8095    1.0103 -0.0076  0.0569  0.0027
  +0.174 +0.261  6  11 7856    1.0132 -0.0188  0.0034  0.0007
  +0.261 +0.348  6  11 7738    1.0111 -0.0160  0.0208  0.0012
  +0.348 +0.435  6  10 7601    1.0181 -0.0157 -0.0355 -0.0001
  +0.435 +0.522  6  10 7397    1.0102 -0.0088 -0.0248 -0.0000
  +0.522 +0.609  6  11 7133    1.0023 -0.0034  0.0245  0.0005
  +0.609 +0.696  6  10 6797    1.0082 -0.0087 -0.0182 -0.0000
  +0.696 +0.783  6  10 6638    0.9966  0.0121  0.0294  0.0001
  +0.783 +0.879  6  10 6219    0.9889  0.0106  0.0404  0.0001
  +0.879 +0.957  6  10 5791    0.9864  0.0089  0.0156 -0.0000
  +0.957 +1.044  6  10 5529    0.9830  0.0169 -0.0035  0.0007
  +1.044 +1.131  6  10 5178    0.9753  0.0221  0.0018  0.0010
  +1.131 +1.218  6  10 4899    0.9662  0.0362  0.0614 -0.0002
  +1.218 +1.305  6  9 4687    0.9833  0.0436 -0.0636 -0.0095
  +1.305 +1.392  6  10 4392    0.9603  0.0642  0.0482  0.0092
  +1.392 +1.479  6  9 3817    0.9442  0.0349 -0.0539 -0.0068
  +1.479 +1.566  6  8 3411    0.9335  0.0207 -0.1178 -0.0372
  +1.566 +1.653  6  8 3286    0.9377  0.0453 -0.1153 -0.0411
  +1.653 +1.740  6  7 3056    0.9342  0.0537 -0.1350 -0.0618
  +1.740 +1.830  6  6 2791    0.9551  0.0348 -0.2342 -0.1553
  +1.830 +1.930  6  7 2532    0.9507  0.0296 -0.2019 -0.1225
  +1.930 +2.043  6  6 2305    0.9632  0.0234 -0.2541 -0.1761
  +2.043 +2.172  6  6 2072    0.9578  0.0301 -0.2290 -0.1474
  +2.172 +2.322  6  4 1838    0.9780  0.0212 -0.3341 -0.2964
  +2.322 +2.500  6  5 1541    0.9000  0.0625 -0.2071 -0.1497
  +2.500 +2.650  6  7 1268    0.8030  0.1359  0.0518  0.0045
  +2.650 +2.853  6  4 1015    0.7419  0.1435 -0.0649 -0.0372
  +2.853 +2.964  6  11  801    0.7919  0.0730  0.3968 -0.5737
  +2.964 +3.139  6  13  796    0.9171  0.0386  0.5324 -0.6324
  +3.139 +3.314  6  10  700    0.9506  0.0489  0.0405  0.0031
  +3.314 +3.489  6  9  577    0.9795 -0.0040 -0.0995 -0.0197
  +3.489 +3.664  6  11  475    0.9351  0.0286  0.2094 -0.1120
  +3.664 +3.839  6  9  387    0.9732 -0.0690 -0.1731 -0.0381
  +3.839 +4.013  6  10  328    0.9309  0.0051  0.0646 -0.0018
  +4.013 +4.191  6  8  260    1.0019 -0.2145 -0.4122 -0.2873
  +4.191 +4.363  6  11  216    0.8945 -0.0567  0.2171 -0.1796
  +4.363 +4.538  6  9  171    0.9818 -0.4249 -0.5257 -0.3620
  +4.538 +4.716  6  11  172    0.9768  0.0765  0.2588 -0.3077
  +4.716 +4.889  6  13  164    1.1338  0.1131  0.3971 -0.8064
  +4.889 +5.191  6  9  116    1.0828 -0.4516 -0.6612 -0.5451
