{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)) Correction L2Relative}
  -5.191 -4.889  5  10  102    0.8466  0.0774  0.4997
  -4.889 -4.716  5  10  121    0.9103  0.2882  0.5000
  -4.716 -4.538  5  10  145    0.8686  0.0586  0.2548
  -4.538 -4.363  5  10  173    0.8791  0.0788  0.3105
  -4.363 -4.191  5  10  205    0.8954  0.0286  0.0483
  -4.191 -4.013  5  10  245    0.9591 -0.1515 -0.3326
  -4.013 -3.839  5  10  292    0.9190 -0.0328  0.0428
  -3.839 -3.664  5  10  348    0.9199  0.0041  0.1154
  -3.664 -3.489  5  10  414    0.9242  0.0042  0.1426
  -3.489 -3.314  5  10  493    0.9552  0.0067  0.0374
  -3.314 -3.139  5  10  588    0.9238  0.0600  0.2117
  -3.139 -2.964  5  10  700    0.8431  0.1014  0.5000
  -2.964 -2.853  5  10  781    0.7047  0.1857  0.4129
  -2.853 -2.650  5  10  956    0.7512  0.1121 -0.5000
  -2.650 -2.500  5  10 1108    0.7851  0.1395 -0.0512
  -2.500 -2.322  5  10 1321    0.8963  0.0543 -0.4620
  -2.322 -2.172  5  10 1529    0.9567  0.0332 -0.5000
  -2.172 -2.043  5  10 1733    0.9506  0.0284 -0.3607
  -2.043 -1.930  5  10 1933    0.9489  0.0305 -0.3549
  -1.930 -1.830  5  10 2126    0.9445  0.0296 -0.2960
  -1.830 -1.740  5  10 2315    0.9487  0.0329 -0.3719
  -1.740 -1.653  5  10 2511    0.9391  0.0443 -0.2424
  -1.653 -1.566  5  10 2721    0.9368  0.0429 -0.1795
  -1.566 -1.479  5  10 2946    0.9392  0.0129 -0.1904
  -1.479 -1.392  5  10 3183    0.9570  0.0195 -0.1434
  -1.392 -1.305  5  10 3435    0.9689  0.0549 -0.0087
  -1.305 -1.218  5  10 3699    0.9768  0.0510 -0.0298
  -1.218 -1.131  5  10 3974    0.9700  0.0342  0.0277
  -1.131 -1.044  5  10 4259    0.9750  0.0214  0.0229
  -1.044 -0.957  5  10 4551    0.9798  0.0196  0.0183
  -0.957 -0.879  5  10 4816    0.9858  0.0083  0.0058
  -0.879 -0.783  5  10 5141    0.9939  0.0045  0.0027
  -0.783 -0.696  5  10 5430    0.9963  0.0125  0.0371
  -0.696 -0.609  5  10 5708    0.9999 -0.0006  0.0198
  -0.609 -0.522  5  10 5968    1.0032 -0.0039  0.0276
  -0.522 -0.435  5  10 6203    1.0123 -0.0096 -0.0185
  -0.435 -0.348  5  10 6408    1.0164 -0.0130 -0.0256
  -0.348 -0.261  5  10 6574    1.0139 -0.0190 -0.0001
  -0.261 -0.174  5  10 6698    1.0134 -0.0185  0.0151
  -0.174 -0.087  5  10 6774    1.0096 -0.0059  0.0548
  -0.087 -0.000  5  10 6800    1.0139 -0.0269  0.0066
  +0.000 +0.087  5  10 6800    1.0139 -0.0269  0.0066
  +0.087 +0.174  5  10 6774    1.0096 -0.0059  0.0548
  +0.174 +0.261  5  10 6698    1.0134 -0.0185  0.0151
  +0.261 +0.348  5  10 6574    1.0139 -0.0190 -0.0001
  +0.348 +0.435  5  10 6408    1.0164 -0.0130 -0.0256
  +0.435 +0.522  5  10 6203    1.0123 -0.0096 -0.0185
  +0.522 +0.609  5  10 5968    1.0032 -0.0039  0.0276
  +0.609 +0.696  5  10 5708    0.9999 -0.0006  0.0198
  +0.696 +0.783  5  10 5430    0.9963  0.0125  0.0371
  +0.783 +0.879  5  10 5141    0.9939  0.0045  0.0027
  +0.879 +0.957  5  10 4816    0.9858  0.0083  0.0058
  +0.957 +1.044  5  10 4551    0.9798  0.0196  0.0183
  +1.044 +1.131  5  10 4259    0.9750  0.0214  0.0229
  +1.131 +1.218  5  10 3974    0.9700  0.0342  0.0277
  +1.218 +1.305  5  10 3699    0.9768  0.0510 -0.0298
  +1.305 +1.392  5  10 3435    0.9689  0.0549 -0.0087
  +1.392 +1.479  5  10 3183    0.9570  0.0195 -0.1434
  +1.479 +1.566  5  10 2946    0.9392  0.0129 -0.1904
  +1.566 +1.653  5  10 2721    0.9368  0.0429 -0.1795
  +1.653 +1.740  5  10 2511    0.9391  0.0443 -0.2424
  +1.740 +1.830  5  10 2315    0.9487  0.0329 -0.3719
  +1.830 +1.930  5  10 2126    0.9445  0.0296 -0.2960
  +1.930 +2.043  5  10 1933    0.9489  0.0305 -0.3549
  +2.043 +2.172  5  10 1733    0.9506  0.0284 -0.3607
  +2.172 +2.322  5  10 1529    0.9567  0.0332 -0.5000
  +2.322 +2.500  5  10 1321    0.8963  0.0543 -0.4620
  +2.500 +2.650  5  10 1108    0.7851  0.1395 -0.0512
  +2.650 +2.853  5  10  956    0.7512  0.1121 -0.5000
  +2.853 +2.964  5  10  781    0.7047  0.1857  0.4129
  +2.964 +3.139  5  10  700    0.8431  0.1014  0.5000
  +3.139 +3.314  5  10  588    0.9238  0.0600  0.2117
  +3.314 +3.489  5  10  493    0.9552  0.0067  0.0374
  +3.489 +3.664  5  10  414    0.9242  0.0042  0.1426
  +3.664 +3.839  5  10  348    0.9199  0.0041  0.1154
  +3.839 +4.013  5  10  292    0.9190 -0.0328  0.0428
  +4.013 +4.191  5  10  245    0.9591 -0.1515 -0.3326
  +4.191 +4.363  5  10  205    0.8954  0.0286  0.0483
  +4.363 +4.538  5  10  173    0.8791  0.0788  0.3105
  +4.538 +4.716  5  10  145    0.8686  0.0586  0.2548
  +4.716 +4.889  5  10  121    0.9103  0.2882  0.5000
  +4.889 +5.191  5  10  102    0.8466  0.0774  0.4997
