{ 1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.)+[3]*log10(x/10.)/(x/10.)) Correction L2Relative}
  -5.191 -4.889  6  13  109    0.9875 -0.1361  0.2770 -1.2448
  -4.889 -4.716  6  12  131    0.9760 -0.0478  0.2792 -1.0731
  -4.716 -4.538  6  7  151    0.9965 -0.3198 -0.5493 -0.4611
  -4.538 -4.363  6  10  185    0.9034 -0.0390  0.0153 -0.0068
  -4.363 -4.191  6  10  219    0.8831  0.0120  0.1565 -0.0971
  -4.191 -4.013  6  8  265    0.9771 -0.1369 -0.3021 -0.1784
  -4.013 -3.839  6  10  326    0.9116  0.0338  0.1333 -0.0539
  -3.839 -3.664  6  11  406    0.9269  0.0760  0.2884 -0.2479
  -3.664 -3.489  6  10  465    0.9277  0.0085  0.0795 -0.0021
  -3.489 -3.314  6  10  575    0.9581  0.0170  0.0195  0.0007
  -3.314 -3.139  6  10  696    0.9375  0.0575  0.1505 -0.0495
  -3.139 -2.964  6  12  794    0.9036  0.0492  0.4383 -0.4513
  -2.964 -2.853  6  11  798    0.7931  0.0678  0.4022 -0.5819
  -2.853 -2.650  6  4 1007    0.7315  0.1467 -0.0447 -0.0212
  -2.650 -2.500  6  7 1259    0.7920  0.1398  0.0717 -0.0003
  -2.500 -2.322  6  4 1514    0.9185  0.0346 -0.3077 -0.2793
  -2.322 -2.172  6  4 1832    0.9697  0.0251 -0.3293 -0.2938
  -2.172 -2.043  6  5 2058    0.9602  0.0237 -0.2715 -0.2036
  -2.043 -1.930  6  5 2300    0.9575  0.0259 -0.2656 -0.1962
  -1.930 -1.830  6  6 2518    0.9530  0.0249 -0.2412 -0.1611
  -1.830 -1.740  6  6 2778    0.9513  0.0343 -0.2436 -0.1692
  -1.740 -1.653  6  7 3035    0.9429  0.0432 -0.1809 -0.1055
  -1.653 -1.566  6  7 3281    0.9401  0.0425 -0.1528 -0.0732
  -1.566 -1.479  6  8 3400    0.9356  0.0173 -0.1397 -0.0520
  -1.479 -1.392  6  8 3797    0.9504  0.0277 -0.0959 -0.0230
  -1.392 -1.305  6  9 4377    0.9643  0.0596  0.0088  0.0045
  -1.305 -1.218  6  9 4723    0.9734  0.0541 -0.0177  0.0043
  -1.218 -1.131  6  10 4909    0.9683  0.0362  0.0228  0.0012
  -1.131 -1.044  6  10 5179    0.9730  0.0236  0.0281  0.0006
  -1.044 -0.957  6  10 5553    0.9780  0.0222  0.0287  0.0003
  -0.957 -0.879  6  10 5774    0.9874  0.0067 -0.0095  0.0004
  -0.879 -0.783  6  10 6185    0.9939  0.0048 -0.0002  0.0001
  -0.783 -0.696  6  10 6643    0.9955  0.0131  0.0422  0.0003
  -0.696 -0.609  6  11 6849    0.9987  0.0006  0.0347  0.0005
  -0.609 -0.522  6  11 7122    1.0041 -0.0052  0.0252  0.0006
  -0.522 -0.435  6  10 7389    1.0132 -0.0110 -0.0350 -0.0001
  -0.435 -0.348  6  10 7628    1.0161 -0.0127 -0.0218 -0.0000
  -0.348 -0.261  6  11 7714    1.0145 -0.0194 -0.0051  0.0005
  -0.261 -0.174  6  11 7851    1.0149 -0.0201  0.0254  0.0018
  -0.174 -0.087  6  11 8091    1.0120 -0.0088  0.0468  0.0022
  -0.087 -0.000  6  11 7839    1.0150 -0.0285  0.0115  0.0017
  +0.000 +0.087  6  11 7839    1.0150 -0.0285  0.0115  0.0017
  +0.087 +0.174  6  11 8091    1.0120 -0.0088  0.0468  0.0022
  +0.174 +0.261  6  11 7851    1.0149 -0.0201  0.0254  0.0018
  +0.261 +0.348  6  11 7714    1.0145 -0.0194 -0.0051  0.0005
  +0.348 +0.435  6  10 7628    1.0161 -0.0127 -0.0218 -0.0000
  +0.435 +0.522  6  10 7389    1.0132 -0.0110 -0.0350 -0.0001
  +0.522 +0.609  6  11 7122    1.0041 -0.0052  0.0252  0.0006
  +0.609 +0.696  6  11 6849    0.9987  0.0006  0.0347  0.0005
  +0.696 +0.783  6  10 6643    0.9955  0.0131  0.0422  0.0003
  +0.783 +0.879  6  10 6185    0.9939  0.0048 -0.0002  0.0001
  +0.879 +0.957  6  10 5774    0.9874  0.0067 -0.0095  0.0004
  +0.957 +1.044  6  10 5553    0.9780  0.0222  0.0287  0.0003
  +1.044 +1.131  6  10 5179    0.9730  0.0236  0.0281  0.0006
  +1.131 +1.218  6  10 4909    0.9683  0.0362  0.0228  0.0012
  +1.218 +1.305  6  9 4723    0.9734  0.0541 -0.0177  0.0043
  +1.305 +1.392  6  9 4377    0.9643  0.0596  0.0088  0.0045
  +1.392 +1.479  6  8 3797    0.9504  0.0277 -0.0959 -0.0230
  +1.479 +1.566  6  8 3400    0.9356  0.0173 -0.1397 -0.0520
  +1.566 +1.653  6  7 3281    0.9401  0.0425 -0.1528 -0.0732
  +1.653 +1.740  6  7 3035    0.9429  0.0432 -0.1809 -0.1055
  +1.740 +1.830  6  6 2778    0.9513  0.0343 -0.2436 -0.1692
  +1.830 +1.930  6  6 2518    0.9530  0.0249 -0.2412 -0.1611
